event_id,state_extract,state_extract_error,state_extract_timestamp,state_transform,state_transform_error,state_transform_timestamp,state_load
10230541,success,,2026-06-23T15:52:51.867354+00:00,success,,2026-06-24T12:57:29.428317+00:00,
10230543,success,,2026-06-23T16:09:49.328125+00:00,success,,2026-06-24T12:57:29.921471+00:00,
10230533,success,,2026-06-23T16:07:17.423116+00:00,success,,2026-06-24T12:57:29.860950+00:00,
10230548,success,,2026-06-23T16:12:32.213765+00:00,success,,2026-06-24T12:57:29.968471+00:00,
10230528,success,,2026-06-23T16:13:51.209891+00:00,success,,2026-06-24T12:57:30.179039+00:00,
10230576,success,,2026-06-23T16:26:12.465427+00:00,success,,2026-06-24T12:57:30.270344+00:00,
10230565,success,,2026-06-23T16:24:54.628900+00:00,success,,2026-06-24T12:57:30.225633+00:00,
10230563,success,,2026-06-23T16:28:21.531782+00:00,success,,2026-06-24T12:57:30.322386+00:00,
10230562,success,,2026-06-23T16:46:07.135323+00:00,success,,2026-06-24T12:57:30.519296+00:00,
10230570,success,,2026-06-23T16:32:51.533778+00:00,success,,2026-06-24T12:57:30.621904+00:00,
10230571,success,,2026-06-23T16:48:06.217598+00:00,success,,2026-06-24T12:57:30.577299+00:00,
10230559,success,,2026-06-23T16:49:07.867186+00:00,success,,2026-06-24T12:57:30.670947+00:00,
10230569,success,,2026-06-23T16:51:39.854245+00:00,success,,2026-06-24T12:57:30.871752+00:00,
10230530,success,,2026-06-23T17:22:59.710392+00:00,success,,2026-06-24T12:57:30.979288+00:00,
10230537,success,,2026-06-23T17:26:56.667999+00:00,success,,2026-06-24T12:57:31.378492+00:00,
10230556,success,,2026-06-23T17:12:42.139750+00:00,success,,2026-06-24T12:57:31.693139+00:00,
10230567,success,,2026-06-23T17:20:53.742538+00:00,success,,2026-06-24T12:57:30.924290+00:00,
10230534,success,,2026-06-23T17:24:09.968681+00:00,success,,2026-06-24T12:57:31.035322+00:00,
10230529,success,,2026-06-23T17:29:10.898840+00:00,success,,2026-06-24T12:57:31.512561+00:00,
10230557,success,,2026-06-23T17:31:49.708627+00:00,success,,2026-06-24T12:57:31.852172+00:00,
10230542,success,,2026-06-23T17:51:14.912579+00:00,success,,2026-06-24T12:57:32.244374+00:00,
10230574,success,,2026-06-23T17:39:48.932532+00:00,success,,2026-06-24T12:57:32.433777+00:00,
10230540,success,,2026-06-23T17:53:18.877132+00:00,success,,2026-06-24T12:57:32.345901+00:00,
10230577,success,,2026-06-23T17:54:28.259465+00:00,success,,2026-06-24T12:57:32.526650+00:00,
10230564,success,,2026-06-23T17:56:51.796649+00:00,success,,2026-06-24T12:57:32.819470+00:00,
10230545,success,,2026-06-23T18:13:53.817686+00:00,success,,2026-06-24T12:57:33.016537+00:00,
10230575,success,,2026-06-23T18:09:50.490262+00:00,success,,2026-06-24T12:57:32.923994+00:00,
10230550,success,,2026-06-23T18:15:28.123677+00:00,success,,2026-06-24T12:57:33.100549+00:00,
10230568,success,,2026-06-23T18:17:21.683389+00:00,success,,2026-06-24T12:57:33.403158+00:00,
10230552,success,,2026-06-23T18:36:08.742365+00:00,success,,2026-06-24T12:57:33.508127+00:00,
10230561,success,,2026-06-23T18:32:47.015737+00:00,success,,2026-06-24T12:57:33.453673+00:00,
10230539,success,,2026-06-23T18:37:24.178976+00:00,success,,2026-06-24T12:57:33.563123+00:00,
10230551,success,,2026-06-23T18:24:48.877182+00:00,success,,2026-06-24T12:57:33.744220+00:00,
10230538,success,,2026-06-23T18:27:31.659910+00:00,success,,2026-06-24T12:57:33.788219+00:00,
10230536,success,,2026-06-23T18:30:16.359182+00:00,success,,2026-06-24T12:57:33.835823+00:00,
10230532,success,,2026-06-23T18:31:21.660586+00:00,failed,"TypeError: the JSON object must be str, bytes or bytearray, not float",2026-06-24T12:57:33.849823+00:00,
10230547,success,,2026-06-23T19:30:14.983059+00:00,success,,2026-06-24T12:57:34.077899+00:00,
10230546,success,,2026-06-23T19:31:23.265406+00:00,success,,2026-06-24T12:57:34.132412+00:00,
10230560,success,,2026-06-23T19:33:04.929780+00:00,success,,2026-06-24T12:57:34.177467+00:00,
